symbol_0	symbol_1	symbol_2	symbol_3	symbol_4	symbol_5	symbol_6	symbol_7
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	2	T	T	T	T	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	2	T	T	T	T	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	2	T	T	T	T	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	T	6	T
T	T	T	3	4	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	T	3	4	5	6	T
T	T	T	3	T	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	T	T	6	T
T	T	T	3	4	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	T	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	T	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	T	T	6	T
T	T	T	3	4	T	6	T
T	T	2	T	T	T	T	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	T	T	6	T
T	T	T	3	T	T	6	T
T	T	T	3	4	T	6	T
T	T	T	3	4	T	6	T
T	T	T	3	4	5	6	T
T	T	T	3	4	T	6	T
T	T	T	3	4	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	T	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	T	T	6	T
T	T	T	3	4	T	6	T
T	T	T	3	4	T	6	T
T	T	2	T	T	T	T	T
T	T	T	3	4	5	6	T
T	T	T	3	T	T	6	T
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	5	6	7
0	1	2	3	4	5	6	7
0	1	2	3	4	T	6	7
0	T	T	T	T	T	T	T
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	T	6	7
0	1	2	3	4	5	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	5	6	7
0	1	2	3	4	T	6	7
0	1	2	3	4	T	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	1	2	3	4	T	6	7
0	1	2	3	4	5	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	1	2	3	4	5	6	7
0	1	2	3	4	T	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	T	6	7
0	1	2	3	4	T	6	7
0	T	2	3	T	5	T	7
0	1	2	3	4	5	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	5	6	7
0	1	2	3	4	T	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	5	6	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	1	2	3	4	T	6	7
0	T	2	3	T	5	T	7
0	T	T	T	T	T	T	T
0	1	2	T	4	T	T	7
0	T	2	3	T	5	T	7
0	T	2	3	T	5	T	7
